date,affected_hexes,affected_km2,high,medium
2022-02-14,142.0,251389.0,86.0,56.0
2022-02-21,319.0,565500.0,200.0,120.0
2022-02-28,289.0,511378.0,161.0,128.0
2022-03-07,312.0,553107.0,184.0,128.0
2022-03-14,307.0,543497.0,149.0,158.0
2022-03-21,236.0,417802.0,120.0,116.0
2022-03-28,233.0,412491.0,115.0,118.0
2022-04-04,263.0,465601.0,118.0,145.0
2022-04-11,223.0,395293.0,107.0,117.0
2022-04-18,211.0,374302.0,102.0,109.0
2022-04-25,241.0,426654.0,126.0,115.0
2022-05-02,255.0,450933.0,124.0,131.0
2022-05-09,244.0,431459.0,122.0,121.0
2022-05-16,251.0,444863.0,117.0,134.0
2022-05-23,291.0,515677.0,140.0,152.0
2022-05-30,240.0,424125.0,113.0,127.0
2022-06-06,346.0,612034.0,193.0,153.0
2022-06-13,354.0,625995.0,193.0,160.0
2022-06-20,356.0,630750.0,199.0,158.0
2022-06-27,305.0,540209.0,140.0,165.0
2022-07-04,297.0,525540.0,164.0,133.0
2022-07-11,284.0,502020.0,129.0,154.0
2022-07-18,282.0,499997.0,122.0,161.0
2022-07-25,282.0,498985.0,125.0,157.0
2022-08-01,246.0,435253.0,123.0,123.0
2022-08-08,344.0,608241.0,193.0,150.0
2022-08-15,329.0,582191.0,176.0,153.0
2022-08-22,324.0,573087.0,154.0,169.0
2022-08-29,292.0,517447.0,136.0,157.0
2022-09-05,287.0,508848.0,147.0,141.0
2022-09-12,282.0,498985.0,138.0,144.0
2022-09-19,260.0,460543.0,123.0,137.0
2022-09-26,263.0,465349.0,124.0,139.0
2022-10-03,335.0,593825.0,178.0,158.0
2022-10-10,295.0,523011.0,158.0,138.0
2022-10-17,278.0,491449.0,146.0,132.0
2022-10-24,263.0,466360.0,144.0,119.0
2022-10-31,271.0,480017.0,141.0,130.0
2022-11-07,290.0,513654.0,151.0,139.0
2022-11-14,260.0,460796.0,129.0,132.0
2022-11-21,271.0,479764.0,133.0,138.0
2022-11-28,274.0,485581.0,153.0,121.0
2022-12-05,262.0,463578.0,141.0,121.0
2022-12-12,295.0,523011.0,155.0,140.0
2022-12-19,356.0,631002.0,183.0,173.0
2022-12-26,326.0,576628.0,179.0,147.0
2023-01-02,330.0,583625.0,141.0,188.0
2023-01-09,378.0,668433.0,181.0,196.0
2023-01-16,335.0,593825.0,161.0,174.0
2023-01-23,345.0,611023.0,167.0,178.0
2023-01-30,319.0,564488.0,151.0,168.0
2023-02-06,281.0,497215.0,128.0,153.0
2023-02-13,277.0,491145.0,118.0,160.0
2023-02-20,296.0,523264.0,141.0,155.0
2023-02-27,309.0,547543.0,153.0,156.0
2023-03-06,314.0,556648.0,154.0,160.0
2023-03-13,323.0,571316.0,155.0,168.0
2023-03-20,349.0,618104.0,182.0,167.0
2023-03-27,389.0,688918.0,217.0,172.0
2023-04-03,420.0,743040.0,246.0,174.0
2023-04-10,438.0,776171.0,258.0,180.0
2023-04-17,442.0,781988.0,257.0,184.0
2023-04-24,412.0,729383.0,244.0,168.0
2023-05-01,378.0,669950.0,227.0,151.0
2023-05-08,435.0,770607.0,271.0,164.0
2023-05-15,459.0,812590.0,260.0,199.0
2023-05-22,446.0,790334.0,246.0,200.0
2023-05-29,431.0,763273.0,271.0,160.0
2023-06-05,557.0,985325.0,341.0,216.0
2023-06-12,595.0,1053104.0,409.0,186.0
2023-06-19,596.0,1054368.0,394.0,202.0
2023-06-26,605.0,1070555.0,392.0,212.0
2023-07-03,655.0,1160084.0,438.0,217.0
2023-07-10,603.0,1066761.0,421.0,182.0
2023-07-17,611.0,1081935.0,390.0,221.0
2023-07-24,656.0,1161348.0,436.0,220.0
2023-07-31,687.0,1215976.0,442.0,245.0
2023-08-07,614.0,1086741.0,392.0,222.0
2023-08-14,730.0,1293113.0,477.0,254.0
2023-08-21,739.0,1308287.0,504.0,235.0
2023-08-28,702.0,1242784.0,480.0,222.0
2023-09-04,730.0,1291848.0,490.0,239.0
2023-09-11,646.0,1144403.0,443.0,204.0
2023-09-18,658.0,1165395.0,434.0,224.0
2023-09-25,604.0,1069543.0,392.0,212.0
2023-10-02,582.0,1029584.0,396.0,186.0
2023-10-09,564.0,998223.0,385.0,179.0
2023-10-16,645.0,1142127.0,431.0,214.0
2023-10-23,648.0,1146427.0,407.0,241.0
2023-10-30,605.0,1071313.0,377.0,228.0
2023-11-06,622.0,1101156.0,395.0,227.0
2023-11-13,561.0,992659.0,364.0,196.0
2023-11-20,540.0,956746.0,362.0,179.0
2023-11-27,551.0,974703.0,366.0,184.0
2023-12-04,580.0,1026802.0,386.0,194.0
2023-12-11,588.0,1040964.0,376.0,212.0
2023-12-18,575.0,1017697.0,364.0,210.0
2023-12-25,592.0,1048046.0,368.0,224.0
2024-01-01,667.0,1180063.0,422.0,244.0
2024-01-08,665.0,1176522.0,403.0,261.0
2024-01-15,633.0,1119871.0,391.0,242.0
2024-01-22,655.0,1159072.0,394.0,260.0
2024-01-29,580.0,1026212.0,338.0,242.0
2024-02-05,655.0,1159578.0,399.0,256.0
2024-02-12,665.0,1176522.0,376.0,289.0
2024-02-19,646.0,1143897.0,389.0,257.0
2024-02-26,610.0,1079153.0,365.0,245.0
2024-03-04,757.0,1340153.0,471.0,286.0
2024-03-11,666.0,1178799.0,407.0,259.0
2024-03-18,767.0,1357098.0,491.0,275.0
2024-03-25,724.0,1281479.0,457.0,267.0
2024-04-01,679.0,1201813.0,394.0,285.0
2024-04-08,755.0,1335854.0,473.0,281.0
2024-04-15,802.0,1420325.0,500.0,302.0
2024-04-22,828.0,1466354.0,516.0,313.0
2024-04-29,841.0,1489368.0,520.0,321.0
2024-05-06,844.0,1494679.0,524.0,320.0
2024-05-13,839.0,1485322.0,519.0,320.0
2024-05-20,874.0,1547284.0,548.0,326.0
2024-05-27,783.0,1385929.0,487.0,295.0
2024-06-03,894.0,1581932.0,556.0,338.0
2024-06-10,900.0,1594072.0,568.0,332.0
2024-06-17,878.0,1554112.0,561.0,317.0
2024-06-24,873.0,1545514.0,542.0,331.0
2024-07-01,887.0,1571057.0,535.0,352.0
2024-07-08,944.0,1670955.0,583.0,360.0
2024-07-15,949.0,1680060.0,587.0,362.0
2024-07-22,953.0,1687394.0,604.0,349.0
2024-07-29,991.0,1754667.0,635.0,356.0
2024-08-05,1003.0,1775406.0,656.0,347.0
2024-08-12,984.0,1742022.0,637.0,347.0
2024-08-19,943.0,1669691.0,601.0,342.0
2024-08-26,969.0,1715973.0,621.0,348.0
2024-09-02,923.0,1634537.0,614.0,309.0
2024-09-09,834.0,1475964.0,553.0,281.0
2024-09-16,916.0,1622397.0,589.0,327.0
2024-09-23,905.0,1601406.0,572.0,333.0
2024-09-30,950.0,1681324.0,594.0,355.0
2024-10-07,834.0,1475711.0,526.0,307.0
2024-10-14,860.0,1521993.0,559.0,301.0
2024-10-21,838.0,1483551.0,533.0,305.0
2024-10-28,890.0,1575609.0,536.0,354.0
2024-11-04,771.0,1365697.0,477.0,294.0
2024-11-11,759.0,1343441.0,436.0,323.0
2024-11-18,848.0,1501255.0,535.0,313.0
2024-11-25,904.0,1600900.0,555.0,349.0
2024-12-02,856.0,1515165.0,522.0,334.0
2024-12-09,876.0,1551077.0,521.0,355.0
2024-12-16,904.0,1600900.0,514.0,390.0
2024-12-23,911.0,1613293.0,533.0,378.0
2024-12-30,931.0,1647688.0,569.0,361.0
2025-01-06,914.0,1618856.0,582.0,333.0
2025-01-13,964.0,1707323.0,603.0,362.0
2025-01-20,963.0,1705351.0,591.0,372.0
2025-01-27,958.0,1695487.0,576.0,382.0
2025-02-03,860.0,1522499.0,523.0,337.0
2025-02-10,803.0,1421083.0,490.0,312.0
2025-02-17,843.0,1492403.0,535.0,308.0
2025-02-24,808.0,1429682.0,513.0,295.0
2025-03-03,867.0,1534133.0,526.0,340.0
2025-03-10,865.0,1530592.0,531.0,334.0
2025-03-17,928.0,1643136.0,582.0,347.0
2025-03-24,861.0,1524522.0,538.0,323.0
2025-03-31,837.0,1481022.0,525.0,311.0
2025-04-07,944.0,1671208.0,584.0,360.0
2025-04-14,930.0,1645665.0,580.0,350.0
2025-04-21,922.0,1631755.0,586.0,335.0
2025-04-28,933.0,1650976.0,611.0,321.0
2025-05-05,924.0,1636307.0,565.0,360.0
2025-05-12,946.0,1674749.0,586.0,360.0
2025-05-19,971.0,1719598.0,554.0,418.0
2025-05-26,980.0,1734435.0,586.0,394.0
2025-06-02,1030.0,1823205.0,597.0,432.0
2025-06-09,1049.0,1856589.0,642.0,407.0
2025-06-16,1081.0,1913999.0,654.0,427.0
2025-06-23,1177.0,2082940.0,701.0,476.0
2025-06-30,1059.0,1874545.0,613.0,446.0
2025-07-07,1030.0,1822699.0,609.0,421.0
2025-07-14,1099.0,1946371.0,592.0,507.0
2025-07-21,1128.0,1997711.0,616.0,513.0
2025-07-28,925.0,1638330.0,492.0,434.0
2025-08-04,1105.0,1956487.0,643.0,462.0
2025-08-11,1032.0,1826999.0,572.0,460.0
2025-08-18,1026.0,1816883.0,570.0,456.0
2025-08-25,940.0,1664127.0,523.0,417.0
2025-09-01,969.0,1714961.0,533.0,435.0
2025-09-08,1088.0,1926138.0,617.0,471.0
2025-09-15,1063.0,1882638.0,572.0,491.0
2025-09-22,952.0,1685624.0,496.0,456.0
2025-09-29,955.0,1690429.0,505.0,449.0
2025-10-06,941.0,1665897.0,508.0,433.0
2025-10-13,842.0,1490633.0,436.0,406.0
2025-10-20,802.0,1419313.0,420.0,382.0
2025-10-27,837.0,1481528.0,448.0,389.0
2025-11-03,808.0,1429682.0,420.0,388.0
2025-11-10,743.0,1316127.0,375.0,368.0
2025-11-17,790.0,1397816.0,414.0,376.0
2025-11-24,803.0,1421083.0,438.0,365.0
2025-12-01,809.0,1432211.0,428.0,381.0
2025-12-08,815.0,1443086.0,430.0,385.0
2025-12-15,840.0,1486586.0,435.0,404.0
2025-12-22,904.0,1601153.0,484.0,421.0
2025-12-29,883.0,1562711.0,497.0,385.0
2026-01-05,952.0,1684865.0,577.0,375.0
2026-01-12,989.0,1750621.0,578.0,411.0
2026-01-19,840.0,1487598.0,477.0,363.0
2026-01-26,863.0,1527051.0,464.0,399.0
2026-02-02,916.0,1621638.0,525.0,391.0
2026-02-09,861.0,1524016.0,475.0,386.0
2026-02-16,906.0,1603429.0,504.0,401.0
2026-02-23,878.0,1554871.0,507.0,372.0
2026-03-02,771.0,1365697.0,429.0,343.0
2026-03-09,1026.0,1816630.0,584.0,442.0
2026-03-16,1036.0,1833827.0,589.0,447.0
2026-03-23,1060.0,1877074.0,619.0,441.0
2026-03-30,1081.0,1913746.0,619.0,462.0
2026-04-06,1044.0,1848496.0,576.0,468.0
2026-04-13,1012.0,1791845.0,527.0,485.0
2026-04-20,989.0,1750874.0,498.0,491.0
2026-04-27,990.0,1753150.0,487.0,503.0
2026-05-04,1113.0,1970397.0,489.0,624.0
